Date,Temperature Status: Maximum,Temperature Status: Minumum,Humidity Status: Maximum,Humidity Status: Minumum
05-04-2019,BAD: 7.78°c above maximum temperature,Min Temp: OK ,Max Humidity: OK ,BAD: 22.31°c below minimum Humidity
06-04-2019,BAD: 5.42°c above maximum temperature,Min Temp: OK ,Max Humidity: OK ,BAD: 20.4°c below minimum Humidity
